,areacode_s,areaname_s,garea_large.areacode_l,garea_large.areaname_l,garea_middle.areacode_m,garea_middle.areaname_m,pref.pref_code,pref.pref_name
0,AREAS5502,札幌駅,AREAL5500,札幌駅・大通・すすきの,AREAM5502,札幌駅,PREF01,北海道
1,AREAS5504,札幌大通・狸小路,AREAL5500,札幌駅・大通・すすきの,AREAM5504,札幌大通・狸小路,PREF01,北海道
2,AREAS5506,札幌すすきの,AREAL5500,札幌駅・大通・すすきの,AREAM5909,札幌すすきの,PREF01,北海道
3,AREAS5507,電車通り,AREAL5500,札幌駅・大通・すすきの,AREAM5910,電車通り,PREF01,北海道
4,AREAS5522,円山公園・西18丁目・宮の森,AREAL5522,円山公園・西18丁目・宮の森,AREAM5522,円山公園・西18丁目・宮の森,PREF01,北海道
5,AREAS5524,琴似・西区,AREAL5520,琴似・手稲,AREAM5524,琴似・西区,PREF01,北海道
6,AREAS5526,手稲区,AREAL5520,琴似・手稲,AREAM5911,手稲区,PREF01,北海道
7,AREAS5542,白石区,AREAL5540,白石・南郷・新さっぽろ,AREAM5542,白石区,PREF01,北海道
8,AREAS5544,南郷・北郷,AREAL5540,白石・南郷・新さっぽろ,AREAM5544,南郷・北郷,PREF01,北海道
9,AREAS5546,新さっぽろ・厚別区,AREAL5540,白石・南郷・新さっぽろ,AREAM5546,新さっぽろ・厚別区,PREF01,北海道
10,AREAS5562,平岸,AREAL5560,平岸・澄川・月寒・清田,AREAM5562,豊平区（平岸・月寒）,PREF01,北海道
11,AREAS5566,月寒・西岡,AREAL5560,平岸・澄川・月寒・清田,AREAM5562,豊平区（平岸・月寒）,PREF01,北海道
12,AREAS5564,澄川・真駒内,AREAL5560,平岸・澄川・月寒・清田,AREAM5914,南区（澄川・真駒内）,PREF01,北海道
13,AREAS5565,川沿・石山・その他南区,AREAL5560,平岸・澄川・月寒・清田,AREAM5914,南区（澄川・真駒内）,PREF01,北海道
14,AREAS5568,清田区,AREAL5560,平岸・澄川・月寒・清田,AREAM5566,清田区,PREF01,北海道
15,AREAS5582,北24条・北18条,AREAL5580,北24条・麻生・元町・栄町,AREAM5582,北区（北24条・麻生）,PREF01,北海道
16,AREAS5584,麻生,AREAL5580,北24条・麻生・元町・栄町,AREAM5582,北区（北24条・麻生）,PREF01,北海道
17,AREAS5585,その他北区,AREAL5580,北24条・麻生・元町・栄町,AREAM5582,北区（北24条・麻生）,PREF01,北海道
18,AREAS5586,東区役所,AREAL5580,北24条・麻生・元町・栄町,AREAM5586,東区（元町・栄町）,PREF01,北海道
19,AREAS5588,元町,AREAL5580,北24条・麻生・元町・栄町,AREAM5586,東区（元町・栄町）,PREF01,北海道
20,AREAS5589,栄町・その他東区,AREAL5580,北24条・麻生・元町・栄町,AREAM5586,東区（元町・栄町）,PREF01,北海道
21,AREAS5800,旭川,AREAL5800,旭川・富良野・名寄,AREAM5800,旭川,PREF01,北海道
22,AREAS5803,富良野・美瑛,AREAL5800,旭川・富良野・名寄,AREAM5803,富良野・美瑛,PREF01,北海道
23,AREAS5810,上川・和寒,AREAL5800,旭川・富良野・名寄,AREAM5810,上川・和寒,PREF01,北海道
24,AREAS5811,名寄・士別,AREAL5800,旭川・富良野・名寄,AREAM5811,名寄・士別,PREF01,北海道
25,AREAS5702,函館,AREAL5700,函館・松前・奥尻,AREAM5702,函館,PREF01,北海道
26,AREAS5704,七飯・松前・渡島,AREAL5700,函館・松前・奥尻,AREAM5704,七飯・松前・渡島,PREF01,北海道
27,AREAS5706,江差・奥尻・檜山,AREAL5700,函館・松前・奥尻,AREAM5706,江差・奥尻・檜山,PREF01,北海道
28,AREAS5602,小樽,AREAL5600,小樽・ニセコ・積丹,AREAM5602,小樽,PREF01,北海道
29,AREAS5710,ニセコ・倶知安,AREAL5600,小樽・ニセコ・積丹,AREAM5710,ニセコ・倶知安,PREF01,北海道
30,AREAS5605,余市・積丹,AREAL5600,小樽・ニセコ・積丹,AREAM5605,余市・積丹,PREF01,北海道
31,AREAS5607,島牧・寿都・黒松内,AREAL5600,小樽・ニセコ・積丹,AREAM5607,島牧・寿都・黒松内,PREF01,北海道
32,AREAS5603,石狩,AREAL5610,石狩・江別・千歳,AREAM5915,石狩,PREF01,北海道
33,AREAS5604,江別・北広島・恵庭,AREAL5610,石狩・江別・千歳,AREAM5604,江別・北広島・恵庭,PREF01,北海道
34,AREAS5606,千歳,AREAL5610,石狩・江別・千歳,AREAM5606,千歳,PREF01,北海道
35,AREAS5708,苫小牧,AREAL5710,苫小牧・室蘭,AREAM5708,苫小牧,PREF01,北海道
36,AREAS5909,室蘭,AREAL5710,苫小牧・室蘭,AREAM5912,室蘭,PREF01,北海道
37,AREAS5802,夕張・岩見沢,AREAL5802,夕張・岩見沢,AREAM5802,夕張・岩見沢,PREF01,北海道
38,AREAS5804,羽幌・留萌,AREAL5804,羽幌・留萌,AREAM5804,羽幌・留萌,PREF01,北海道
39,AREAS5806,稚内・宗谷,AREAL5806,稚内・宗谷,AREAM5806,稚内・宗谷,PREF01,北海道
40,AREAS5712,日高・えりも,AREAL5712,日高・えりも,AREAM5712,日高・えりも,PREF01,北海道
41,AREAS5902,帯広・十勝,AREAL5902,帯広・十勝,AREAM5902,帯広・十勝,PREF01,北海道
42,AREAS5904,釧路・阿寒,AREAL5900,釧路・阿寒,AREAM5904,釧路・阿寒,PREF01,北海道
43,AREAS5906,根室・中標津,AREAL5906,根室・中標津,AREAM5906,根室・中標津,PREF01,北海道
44,AREAS5908,網走,AREAL5908,網走,AREAM5908,網走,PREF01,北海道
45,AREAS5910,北見,AREAL5910,北見・紋別,AREAM5913,北見,PREF01,北海道
46,AREAS5916,紋別,AREAL5910,北見・紋別,AREAM5916,紋別,PREF01,北海道
47,AREAS6202,仙台駅西口,AREAL6205,仙台市,AREAM6202,仙台,PREF04,宮城県
48,AREAS6203,仙台駅東口,AREAL6205,仙台市,AREAM6202,仙台,PREF04,宮城県
49,AREAS6204,広瀬通一番町,AREAL6205,仙台市,AREAM6202,仙台,PREF04,宮城県
50,AREAS6206,県庁・市役所周辺,AREAL6205,仙台市,AREAM6202,仙台,PREF04,宮城県
51,AREAS6208,北仙台・東照宮・台原,AREAL6205,仙台市,AREAM6202,仙台,PREF04,宮城県
52,AREAS6212,国分町,AREAL6205,仙台市,AREAM6202,仙台,PREF04,宮城県
53,AREAS6214,青葉区郊外,AREAL6205,仙台市,AREAM6214,青葉区郊外,PREF04,宮城県
54,AREAS6222,泉区・泉中央・富谷,AREAL6205,仙台市,AREAM6222,泉区・泉中央・富谷,PREF04,宮城県
55,AREAS6232,長町・太白区,AREAL6205,仙台市,AREAM6232,長町・太白区,PREF04,宮城県
56,AREAS6240,宮城野区・若林区,AREAL6205,仙台市,AREAM6240,宮城野区・若林区,PREF04,宮城県
57,AREAS6262,名取・沿岸南部,AREAL6260,名取・白石・宮城県南部,AREAM6262,名取・沿岸南部,PREF04,宮城県
58,AREAS6266,大崎・古川・登米,AREAL6266,大崎・古川・登米,AREAM6266,大崎・古川・登米,PREF04,宮城県
59,AREAS6268,白石・蔵王,AREAL6260,名取・白石・宮城県南部,AREAM6268,白石・蔵王,PREF04,宮城県
60,AREAS6102,青森市中心部,AREAL6100,青森市,AREAM6102,青森市,PREF02,青森県
61,AREAS6103,青森市郊外,AREAL6100,青森市,AREAM6102,青森市,PREF02,青森県
62,AREAS6104,弘前中心部,AREAL6101,弘前・黒石・平川,AREAM6104,弘前,PREF02,青森県
63,AREAS6105,弘前郊外,AREAL6101,弘前・黒石・平川,AREAM6104,弘前,PREF02,青森県
64,AREAS6107,黒石・平川,AREAL6101,弘前・黒石・平川,AREAM6105,黒石・平川,PREF02,青森県
65,AREAS6106,つがる・鰺ヶ沢・深浦,AREAL6103,つがる・鰺ヶ沢・深浦,AREAM6433,つがる・鰺ヶ沢・深浦,PREF02,青森県
66,AREAS6108,五所川原・中泊,AREAL6104,五所川原・中泊,AREAM6106,五所川原・中泊,PREF02,青森県
67,AREAS6109,十和田,AREAL6105,十和田・七戸・東北町,AREAM6107,十和田,PREF02,青森県
68,AREAS6110,七戸・東北町,AREAL6105,十和田・七戸・東北町,AREAM6108,七戸・東北町,PREF02,青森県
69,AREAS6111,三沢,AREAL6106,三沢・三戸・五戸,AREAM6109,三沢,PREF02,青森県
70,AREAS6113,三戸・五戸・おいらせ,AREAL6106,三沢・三戸・五戸,AREAM6110,三戸・五戸・おいらせ,PREF02,青森県
71,AREAS6112,八戸中心部,AREAL6102,八戸,AREAM6112,八戸,PREF02,青森県
72,AREAS6115,八戸郊外,AREAL6102,八戸,AREAM6112,八戸,PREF02,青森県
73,AREAS6114,むつ市・大間・野辺地,AREAL6107,むつ市・大間・野辺地,AREAM6434,むつ市・大間・野辺地,PREF02,青森県
74,AREAS6153,盛岡大通,AREAL6150,盛岡,AREAM6152,盛岡,PREF03,岩手県
75,AREAS6154,盛岡菜園,AREAL6150,盛岡,AREAM6152,盛岡,PREF03,岩手県
76,AREAS6152,盛岡駅,AREAL6150,盛岡,AREAM6152,盛岡,PREF03,岩手県
77,AREAS6155,その他盛岡,AREAL6150,盛岡,AREAM6152,盛岡,PREF03,岩手県
78,AREAS6163,二戸,AREAL6151,二戸・八幡平・滝沢,AREAM6161,二戸,PREF03,岩手県
79,AREAS6162,八幡平・滝沢・紫波,AREAL6151,二戸・八幡平・滝沢,AREAM6162,八幡平・滝沢・紫波,PREF03,岩手県
80,AREAS6164,水沢,AREAL6154,奥州・一関・平泉,AREAM6163,奥州・金ケ崎,PREF03,岩手県
81,AREAS6165,その他奥州・金ケ崎,AREAL6154,奥州・一関・平泉,AREAM6163,奥州・金ケ崎,PREF03,岩手県
82,AREAS6166,一関・平泉,AREAL6154,奥州・一関・平泉,AREAM6164,一関・平泉,PREF03,岩手県
83,AREAS6172,花巻,AREAL6152,花巻・北上・遠野,AREAM6172,花巻,PREF03,岩手県
84,AREAS6174,北上・西和賀,AREAL6152,花巻・北上・遠野,AREAM6174,北上・西和賀,PREF03,岩手県
85,AREAS6173,遠野,AREAL6152,花巻・北上・遠野,AREAM6173,遠野,PREF03,岩手県
86,AREAS6181,洋野・久慈・普代,AREAL6153,三陸海岸沿岸部,AREAM6181,洋野・久慈・普代,PREF03,岩手県
87,AREAS6182,岩泉・宮古・山田,AREAL6153,三陸海岸沿岸部,AREAM6182,岩泉・宮古・山田,PREF03,岩手県
88,AREAS6183,釜石・大槌,AREAL6153,三陸海岸沿岸部,AREAM6183,釜石・大槌,PREF03,岩手県
89,AREAS6184,大船渡・陸前高田・住田,AREAL6153,三陸海岸沿岸部,AREAM6184,大船渡・陸前高田・住田,PREF03,岩手県
90,AREAS6252,松島・利府,AREAL6250,松島・石巻・気仙沼,AREAM6252,松島・利府,PREF04,宮城県
91,AREAS6254,塩釜・多賀城,AREAL6250,松島・石巻・気仙沼,AREAM6254,塩釜・多賀城,PREF04,宮城県
92,AREAS6264,石巻,AREAL6250,松島・石巻・気仙沼,AREAM6264,石巻,PREF04,宮城県
93,AREAS6433,気仙沼・南三陸,AREAL6250,松島・石巻・気仙沼,AREAM6435,気仙沼・南三陸,PREF04,宮城県
94,AREAS6301,大町・川反,AREAL6300,秋田市,AREAM6302,秋田市,PREF05,秋田県
95,AREAS6302,秋田駅周辺,AREAL6300,秋田市,AREAM6302,秋田市,PREF05,秋田県
96,AREAS6303,山王,AREAL6300,秋田市,AREAM6302,秋田市,PREF05,秋田県
97,AREAS6300,その他秋田市,AREAL6300,秋田市,AREAM6302,秋田市,PREF05,秋田県
98,AREAS6312,能代・八峰・藤里,AREAL6301,能代・山本・男鹿,AREAM6312,能代・八峰・藤里,PREF05,秋田県
99,AREAS6304,男鹿・大潟・五城目,AREAL6301,能代・山本・男鹿,AREAM6303,男鹿・大潟・五城目,PREF05,秋田県
100,AREAS6305,由利本荘・にかほ,AREAL6303,由利本荘・にかほ,AREAM6304,由利本荘・にかほ,PREF05,秋田県
101,AREAS6306,北秋田・大館・鹿角,AREAL6304,北秋田・大館・鹿角,AREAM6305,北秋田・大館・鹿角,PREF05,秋田県
102,AREAS6307,仙北・大仙,AREAL6302,仙北・大仙・横手,AREAM6306,仙北・大仙,PREF05,秋田県
103,AREAS6322,横手,AREAL6302,仙北・大仙・横手,AREAM6322,横手,PREF05,秋田県
104,AREAS6308,湯沢・羽後,AREAL6305,湯沢・羽後,AREAM6307,湯沢・羽後,PREF05,秋田県
105,AREAS6353,七日町,AREAL6350,山形市,AREAM6352,山形市,PREF06,山形県
106,AREAS6352,山形駅周辺,AREAL6350,山形市,AREAM6352,山形市,PREF06,山形県
107,AREAS6354,その他山形市,AREAL6350,山形市,AREAM6352,山形市,PREF06,山形県
108,AREAS6362,米沢・高畠・南陽,AREAL6351,米沢・置賜,AREAM6362,米沢・高畠・南陽,PREF06,山形県
109,AREAS6364,上山,AREAL6351,米沢・置賜,AREAM6364,上山,PREF06,山形県
110,AREAS6363,白鷹・長井・小国,AREAL6351,米沢・置賜,AREAM6363,白鷹・長井・小国,PREF06,山形県
111,AREAS6375,天童・東根・尾花沢,AREAL6353,天童・尾花沢・寒河江,AREAM6375,天童・東根・尾花沢,PREF06,山形県
112,AREAS6374,寒河江・大江・朝日町,AREAL6353,天童・尾花沢・寒河江,AREAM6374,寒河江・大江・朝日町,PREF06,山形県
113,AREAS6376,新庄・最上,AREAL6354,新庄・最上,AREAM6376,新庄・最上,PREF06,山形県
114,AREAS6434,酒田・遊佐,AREAL6352,酒田・遊佐,AREAM6436,酒田・遊佐,PREF06,山形県
115,AREAS6372,鶴岡・庄内,AREAL6355,鶴岡・庄内,AREAM6372,鶴岡・庄内,PREF06,山形県
116,AREAS6402,福島駅周辺,AREAL6400,福島市,AREAM6402,福島市,PREF07,福島県
117,AREAS6401,その他福島市,AREAL6400,福島市,AREAM6402,福島市,PREF07,福島県
118,AREAS6403,二本松・本宮,AREAL6403,二本松・本宮,AREAM6403,二本松・本宮,PREF07,福島県
119,AREAS6405,伊達・桑折・川俣,AREAL6404,伊達・桑折・川俣,AREAM6404,伊達・桑折・川俣,PREF07,福島県
120,AREAS6406,朝日・桑野,AREAL6405,郡山,AREAM6437,郡山,PREF07,福島県
121,AREAS6404,郡山駅周辺・陣屋,AREAL6405,郡山,AREAM6437,郡山,PREF07,福島県
122,AREAS6407,その他郡山,AREAL6405,郡山,AREAM6437,郡山,PREF07,福島県
123,AREAS6439,田村・小野・三春,AREAL6406,田村・小野・三春,AREAM6439,田村・小野・三春,PREF07,福島県
124,AREAS6440,須賀川・天栄,AREAL6407,須賀川・天栄,AREAM6440,須賀川・天栄,PREF07,福島県
125,AREAS6441,古殿・石川町・玉川村,AREAL6408,古殿・石川町・玉川村,AREAM6441,古殿・石川町・玉川村,PREF07,福島県
126,AREAS6435,白河・矢吹,AREAL6409,白河・矢吹,AREAM6438,白河・矢吹,PREF07,福島県
127,AREAS6422,いわき駅周辺,AREAL6401,いわき,AREAM6422,いわき,PREF07,福島県
128,AREAS6429,その他いわき,AREAL6401,いわき,AREAM6422,いわき,PREF07,福島県
129,AREAS6423,浪江・大熊・広野,AREAL6410,浪江・大熊・広野,AREAM6423,浪江・大熊・広野,PREF07,福島県
130,AREAS6424,相馬・南相馬,AREAL6411,相馬・南相馬,AREAM6424,相馬・南相馬,PREF07,福島県
131,AREAS6432,会津若松駅・神明通り商店街,AREAL6402,会津若松・喜多方,AREAM6432,会津若松,PREF07,福島県
132,AREAS6428,その他会津若松,AREAL6402,会津若松・喜多方,AREAM6432,会津若松,PREF07,福島県
133,AREAS6425,猪苗代・北塩原,AREAL6402,会津若松・喜多方,AREAM6425,猪苗代・北塩原,PREF07,福島県
134,AREAS6426,喜多方,AREAL6402,会津若松・喜多方,AREAM6426,喜多方,PREF07,福島県
135,AREAS6427,下郷・南会津・只見,AREAL6412,下郷・南会津・只見,AREAM6427,下郷・南会津・只見,PREF07,福島県
136,AREAS2101,銀座（和光・マロニエゲート銀座方面）,AREAL2101,銀座・有楽町・築地,AREAM2105,銀座,PREF13,東京都
137,AREAS2103,銀座（ギンザシックス・銀座コア方面）,AREAL2101,銀座・有楽町・築地,AREAM2105,銀座,PREF13,東京都
138,AREAS2107,新橋,AREAL2107,新橋・浜松町・田町,AREAM2107,新橋,PREF13,東京都
139,AREAS2108,汐留,AREAL2107,新橋・浜松町・田町,AREAM2928,汐留,PREF13,東京都
140,AREAS2133,赤坂,AREAL2133,赤坂・六本木・麻布,AREAM2133,赤坂,PREF13,東京都
141,AREAS2134,永田町,AREAL2133,赤坂・六本木・麻布,AREAM2943,永田町,PREF13,東京都
142,AREAS2135,虎ノ門,AREAL2107,新橋・浜松町・田町,AREAM2136,虎ノ門,PREF13,東京都
143,AREAS2172,浜松町・大門,AREAL2107,新橋・浜松町・田町,AREAM2172,浜松町・大門,PREF13,東京都
144,AREAS2173,芝浦,AREAL2107,新橋・浜松町・田町,AREAM2930,芝浦,PREF13,東京都
145,AREAS2174,芝公園・東京タワー周辺,AREAL2107,新橋・浜松町・田町,AREAM2929,芝公園・東京タワー周辺,PREF13,東京都
146,AREAS2175,田町・三田,AREAL2107,新橋・浜松町・田町,AREAM2175,田町・三田,PREF13,東京都
147,AREAS2191,飯田橋,AREAL2184,飯田橋・四ツ谷・神楽坂,AREAM2187,飯田橋,PREF13,東京都
148,AREAS2192,神楽坂,AREAL2184,飯田橋・四ツ谷・神楽坂,AREAM2192,神楽坂,PREF13,東京都
149,AREAS2309,宮崎台・鷺沼,AREAL2308,溝の口・たまプラーザ・青葉台,AREAM2309,宮崎台・鷺沼,PREF14,神奈川県
150,AREAS2322,横浜西口,AREAL2322,横浜・東神奈川,AREAM2322,横浜駅,PREF14,神奈川県
151,AREAS2324,横浜東口・高島,AREAL2322,横浜・東神奈川,AREAM2322,横浜駅,PREF14,神奈川県
152,AREAS2340,横浜元町・山下公園,AREAL2336,みなとみらい・関内・中華街,AREAM2340,横浜元町・山下公園,PREF14,神奈川県
153,AREAS2364,たまプラーザ・あざみ野,AREAL2308,溝の口・たまプラーザ・青葉台,AREAM2364,たまプラーザ・あざみ野,PREF14,神奈川県
154,AREAS2424,朝霞,AREAL2432,朝霞・川越・坂戸,AREAM2424,朝霞,PREF11,埼玉県
155,AREAS2434,川越,AREAL2432,朝霞・川越・坂戸,AREAM2434,川越,PREF11,埼玉県
156,AREAS2452,東松山・鶴ヶ島,AREAL2432,朝霞・川越・坂戸,AREAM2452,東松山・鶴ヶ島,PREF11,埼玉県
157,AREAS2474,入間,AREAL2452,所沢・入間・狭山,AREAM3048,入間,PREF11,埼玉県
158,AREAS2475,狭山,AREAL2452,所沢・入間・狭山,AREAM2435,狭山,PREF11,埼玉県
159,AREAS2476,ふじみ野・上福岡,AREAL2432,朝霞・川越・坂戸,AREAM3044,ふじみ野・上福岡,PREF11,埼玉県
160,AREAS2542,柏,AREAL2542,柏・松戸・我孫子,AREAM2542,柏,PREF12,千葉県
161,AREAS2544,松戸,AREAL2542,柏・松戸・我孫子,AREAM2544,松戸,PREF12,千葉県
162,AREAS2546,野田,AREAL2542,柏・松戸・我孫子,AREAM2546,野田,PREF12,千葉県
163,AREAS2548,我孫子,AREAL2542,柏・松戸・我孫子,AREAM2548,我孫子,PREF12,千葉県
164,AREAS2550,木更津,AREAL2564,内房・外房・銚子,AREAM2556,木更津,PREF12,千葉県
165,AREAS2552,鎌ヶ谷,AREAL2542,柏・松戸・我孫子,AREAM2552,鎌ヶ谷,PREF12,千葉県
166,AREAS2553,白井・印西,AREAL2562,成田・八千代・佐倉,AREAM2553,白井・印西,PREF12,千葉県
167,AREAS2554,八千代・佐倉・四街道,AREAL2562,成田・八千代・佐倉,AREAM2554,八千代・佐倉・四街道,PREF12,千葉県
168,AREAS2556,市原,AREAL2564,内房・外房・銚子,AREAM3055,市原,PREF12,千葉県
169,AREAS2558,茂原,AREAL2564,内房・外房・銚子,AREAM2558,茂原,PREF12,千葉県
170,AREAS2560,東金・九十九里,AREAL2564,内房・外房・銚子,AREAM2560,東金・九十九里,PREF12,千葉県
171,AREAS2562,成田・佐原,AREAL2562,成田・八千代・佐倉,AREAM2562,成田・佐原,PREF12,千葉県
172,AREAS2607,藤岡・玉村,AREAL2604,富岡・藤岡・安中,AREAM2607,藤岡・玉村,PREF10,群馬県
173,AREAS2608,下仁田・上野村・神流町,AREAL2604,富岡・藤岡・安中,AREAM2608,下仁田・上野村・神流町,PREF10,群馬県
174,AREAS2609,富岡,AREAL2604,富岡・藤岡・安中,AREAM2609,富岡,PREF10,群馬県
175,AREAS2610,安中,AREAL2604,富岡・藤岡・安中,AREAM2606,安中,PREF10,群馬県
176,AREAS2614,伊勢崎,AREAL2605,伊勢崎,AREAM2614,伊勢崎,PREF10,群馬県
177,AREAS2810,牛久・龍ケ崎・阿見,AREAL2805,県南地域,AREAM2810,牛久・龍ケ崎・阿見,PREF08,茨城県
178,AREAS2818,天久保・筑波大学周辺,AREAL2802,つくば,AREAM2822,つくば,PREF08,茨城県
179,AREAS2819,研究学園,AREAL2802,つくば,AREAM2822,つくば,PREF08,茨城県
180,AREAS2820,その他つくば,AREAL2802,つくば,AREAM2822,つくば,PREF08,茨城県
181,AREAS2822,つくば駅,AREAL2802,つくば,AREAM2822,つくば,PREF08,茨城県
182,AREAS2940,和光市,AREAL2432,朝霞・川越・坂戸,AREAM3045,和光市,PREF11,埼玉県
183,AREAS2941,志木,AREAL2432,朝霞・川越・坂戸,AREAM3046,志木,PREF11,埼玉県
184,AREAS2942,坂戸,AREAL2432,朝霞・川越・坂戸,AREAM3047,坂戸,PREF11,埼玉県
185,AREAS2948,流山,AREAL2542,柏・松戸・我孫子,AREAM3054,流山,PREF12,千葉県
186,AREAS2949,館山,AREAL2564,内房・外房・銚子,AREAM3056,館山,PREF12,千葉県
187,AREAS2950,鴨川,AREAL2564,内房・外房・銚子,AREAM3057,鴨川,PREF12,千葉県
188,AREAS2951,勝浦,AREAL2564,内房・外房・銚子,AREAM3058,勝浦,PREF12,千葉県
189,AREAS2952,銚子,AREAL2564,内房・外房・銚子,AREAM3059,銚子,PREF12,千葉県
190,AREAS2953,渋川・伊香保,AREAL2603,渋川・伊香保,AREAM3060,渋川・伊香保,PREF10,群馬県
191,AREAS2960,土浦,AREAL2805,県南地域,AREAM3071,土浦,PREF08,茨城県
192,AREAS2961,守谷,AREAL2805,県南地域,AREAM3072,守谷,PREF08,茨城県
193,AREAS2965,取手,AREAL2805,県南地域,AREAM3080,取手,PREF08,茨城県
194,AREAS2102,銀座（三越・松屋方面）,AREAL2101,銀座・有楽町・築地,AREAM2105,銀座,PREF13,東京都
195,AREAS2104,銀座（ソニービル・旧日航ホテル方面）,AREAL2101,銀座・有楽町・築地,AREAM2105,銀座,PREF13,東京都
