,areacode_s,areaname_s,garea_large.areacode_l,garea_large.areaname_l,garea_middle.areacode_m,garea_middle.areaname_m,pref.pref_code,pref.pref_name
196,AREAS2105,銀座（東急プラザ・コリドー街方面）,AREAL2101,銀座・有楽町・築地,AREAM2105,銀座,PREF13,東京都
197,AREAS2809,石岡・かすみがうら市,AREAL2805,県南地域,AREAM2809,石岡・かすみがうら市,PREF08,茨城県
198,AREAS2308,溝の口,AREAL2308,溝の口・たまプラーザ・青葉台,AREAM2308,溝の口,PREF14,神奈川県
199,AREAS2330,みなとみらい,AREAL2336,みなとみらい・関内・中華街,AREAM2324,みなとみらい,PREF14,神奈川県
200,AREAS2432,所沢,AREAL2452,所沢・入間・狭山,AREAM2432,所沢,PREF11,埼玉県
201,AREAS2106,有楽町・日比谷,AREAL2101,銀座・有楽町・築地,AREAM2106,有楽町・日比谷,PREF13,東京都
202,AREAS2186,九段下,AREAL2184,飯田橋・四ツ谷・神楽坂,AREAM2956,九段下,PREF13,東京都
203,AREAS2326,平沼,AREAL2322,横浜・東神奈川,AREAM2326,平沼,PREF14,神奈川県
204,AREAS2334,桜木町,AREAL2336,みなとみらい・関内・中華街,AREAM3018,桜木町,PREF14,神奈川県
205,AREAS2109,築地,AREAL2101,銀座・有楽町・築地,AREAM2109,築地,PREF13,東京都
206,AREAS2136,霞ヶ関,AREAL2133,赤坂・六本木・麻布,AREAM2944,霞ヶ関,PREF13,東京都
207,AREAS2328,浅間下,AREAL2322,横浜・東神奈川,AREAM2328,浅間下,PREF14,神奈川県
208,AREAS2332,関内・馬車道,AREAL2336,みなとみらい・関内・中華街,AREAM2332,関内・馬車道,PREF14,神奈川県
209,AREAS2110,月島,AREAL2101,銀座・有楽町・築地,AREAM2927,月島,PREF13,東京都
210,AREAS2195,市ヶ谷,AREAL2184,飯田橋・四ツ谷・神楽坂,AREAM2195,市ヶ谷,PREF13,東京都
211,AREAS2338,伊勢佐木町・長者町,AREAL2336,みなとみらい・関内・中華街,AREAM3019,伊勢佐木町・長者町,PREF14,神奈川県
212,AREAS2346,新子安・東神奈川,AREAL2322,横浜・東神奈川,AREAM2346,新子安・東神奈川,PREF14,神奈川県
213,AREAS2196,四谷（四ツ谷）,AREAL2184,飯田橋・四ツ谷・神楽坂,AREAM2957,四谷（四ツ谷）,PREF13,東京都
214,AREAS2336,横浜中華街,AREAL2336,みなとみらい・関内・中華街,AREAM2336,横浜中華街,PREF14,神奈川県
215,AREAS2365,青葉台,AREAL2308,溝の口・たまプラーザ・青葉台,AREAM2365,青葉台,PREF14,神奈川県
216,AREAS2394,三ツ沢・片倉,AREAL2322,横浜・東神奈川,AREAM2394,三ツ沢・片倉,PREF14,神奈川県
217,AREAS2928,神谷町,AREAL2133,赤坂・六本木・麻布,AREAM2945,神谷町,PREF13,東京都
218,AREAS2132,六本木（麻布方面）,AREAL2133,赤坂・六本木・麻布,AREAM2132,六本木,PREF13,東京都
219,AREAS2121,六本木（乃木坂方面）,AREAL2133,赤坂・六本木・麻布,AREAM2132,六本木,PREF13,東京都
220,AREAS2197,半蔵門・麹町,AREAL2184,飯田橋・四ツ谷・神楽坂,AREAM2958,半蔵門・麹町,PREF13,東京都
221,AREAS2138,西麻布,AREAL2133,赤坂・六本木・麻布,AREAM2946,西麻布,PREF13,東京都
222,AREAS2194,信濃町,AREAL2184,飯田橋・四ツ谷・神楽坂,AREAM2959,信濃町,PREF13,東京都
223,AREAS2139,広尾,AREAL2133,赤坂・六本木・麻布,AREAM2138,広尾,PREF13,東京都
224,AREAS2344,本牧・山手,AREAL2336,みなとみらい・関内・中華街,AREAM3021,本牧・山手,PREF14,神奈川県
225,AREAS2137,麻布十番,AREAL2133,赤坂・六本木・麻布,AREAM2947,麻布十番,PREF13,東京都
226,AREAS2140,白金・白金台,AREAL2133,赤坂・六本木・麻布,AREAM2137,白金・白金台,PREF13,東京都
227,AREAS2115,新宿東口・歌舞伎町,AREAL2115,新宿・代々木,AREAM2115,新宿,PREF13,東京都
228,AREAS2927,新宿三丁目,AREAL2115,新宿・代々木,AREAM2115,新宿,PREF13,東京都
229,AREAS2117,新宿御苑周辺,AREAL2115,新宿・代々木,AREAM2115,新宿,PREF13,東京都
230,AREAS2119,西新宿,AREAL2115,新宿・代々木,AREAM2115,新宿,PREF13,東京都
231,AREAS2120,新宿西口・都庁前,AREAL2115,新宿・代々木,AREAM2115,新宿,PREF13,東京都
232,AREAS2118,新宿南口・代々木,AREAL2115,新宿・代々木,AREAM2115,新宿,PREF13,東京都
233,AREAS2210,初台,AREAL2115,新宿・代々木,AREAM2933,初台,PREF13,東京都
234,AREAS2193,千駄ヶ谷,AREAL2115,新宿・代々木,AREAM2934,千駄ヶ谷,PREF13,東京都
235,AREAS2122,大久保,AREAL2116,大久保・高田馬場,AREAM2122,大久保,PREF13,東京都
236,AREAS2123,高田馬場,AREAL2116,大久保・高田馬場,AREAM2123,高田馬場,PREF13,東京都
237,AREAS2124,早稲田,AREAL2116,大久保・高田馬場,AREAM2935,早稲田,PREF13,東京都
238,AREAS2125,センター街・公園通り,AREAL2125,渋谷・原宿・青山,AREAM2126,渋谷,PREF13,東京都
239,AREAS2126,道玄坂・神泉,AREAL2125,渋谷・原宿・青山,AREAM2126,渋谷,PREF13,東京都
240,AREAS2127,渋谷東口・宮益坂,AREAL2125,渋谷・原宿・青山,AREAM2126,渋谷,PREF13,東京都
241,AREAS2128,渋谷南口,AREAL2125,渋谷・原宿・青山,AREAM2126,渋谷,PREF13,東京都
242,AREAS2129,原宿,AREAL2125,渋谷・原宿・青山,AREAM2129,原宿,PREF13,東京都
243,AREAS2130,表参道・青山,AREAL2125,渋谷・原宿・青山,AREAM2130,表参道・青山,PREF13,東京都
244,AREAS2131,外苑前・青山一丁目,AREAL2125,渋谷・原宿・青山,AREAM2936,外苑前・青山一丁目,PREF13,東京都
245,AREAS2156,池袋東口・東池袋,AREAL2156,池袋・巣鴨・駒込,AREAM2157,池袋,PREF13,東京都
246,AREAS2261,西武東口・南池袋,AREAL2156,池袋・巣鴨・駒込,AREAM2157,池袋,PREF13,東京都
247,AREAS2157,池袋西口,AREAL2156,池袋・巣鴨・駒込,AREAM2157,池袋,PREF13,東京都
248,AREAS2159,目白,AREAL2156,池袋・巣鴨・駒込,AREAM2159,目白,PREF13,東京都
249,AREAS2158,護国寺,AREAL2156,池袋・巣鴨・駒込,AREAM2158,護国寺,PREF13,東京都
250,AREAS2160,大塚,AREAL2156,池袋・巣鴨・駒込,AREAM2160,大塚,PREF13,東京都
251,AREAS2161,巣鴨,AREAL2156,池袋・巣鴨・駒込,AREAM2937,巣鴨,PREF13,東京都
252,AREAS2162,駒込,AREAL2156,池袋・巣鴨・駒込,AREAM2938,駒込,PREF13,東京都
253,AREAS2163,白山,AREAL2156,池袋・巣鴨・駒込,AREAM2939,白山,PREF13,東京都
254,AREAS2141,丸の内,AREAL2141,東京駅・丸の内・日本橋,AREAM2141,丸の内,PREF13,東京都
255,AREAS2259,大手町,AREAL2141,東京駅・丸の内・日本橋,AREAM2940,大手町,PREF13,東京都
256,AREAS2260,東京駅（八重洲）,AREAL2141,東京駅・丸の内・日本橋,AREAM2941,東京駅（八重洲）,PREF13,東京都
257,AREAS2143,日本橋,AREAL2141,東京駅・丸の内・日本橋,AREAM2143,日本橋,PREF13,東京都
258,AREAS2144,京橋,AREAL2141,東京駅・丸の内・日本橋,AREAM2942,京橋,PREF13,東京都
259,AREAS2145,三越前,AREAL2141,東京駅・丸の内・日本橋,AREAM2145,三越前,PREF13,東京都
260,AREAS2198,上野,AREAL2198,上野・浅草・日暮里,AREAM2198,上野,PREF13,東京都
261,AREAS2199,御徒町,AREAL2198,上野・浅草・日暮里,AREAM2948,御徒町,PREF13,東京都
262,AREAS2187,湯島,AREAL2198,上野・浅草・日暮里,AREAM2949,湯島,PREF13,東京都
263,AREAS2205,浅草,AREAL2198,上野・浅草・日暮里,AREAM2205,浅草,PREF13,東京都
264,AREAS2201,日暮里,AREAL2198,上野・浅草・日暮里,AREAM2201,日暮里,PREF13,東京都
265,AREAS2202,田端,AREAL2198,上野・浅草・日暮里,AREAM2950,田端,PREF13,東京都
266,AREAS2203,根津,AREAL2198,上野・浅草・日暮里,AREAM2951,根津,PREF13,東京都
267,AREAS2204,千駄木,AREAL2198,上野・浅草・日暮里,AREAM2202,千駄木,PREF13,東京都
268,AREAS2142,神田,AREAL2142,神田・秋葉原・水道橋,AREAM2142,神田,PREF13,東京都
269,AREAS2200,秋葉原,AREAL2142,神田・秋葉原・水道橋,AREAM2200,秋葉原,PREF13,東京都
270,AREAS2184,御茶ノ水,AREAL2142,神田・秋葉原・水道橋,AREAM2184,御茶ノ水,PREF13,東京都
271,AREAS2185,神保町,AREAL2142,神田・秋葉原・水道橋,AREAM2952,神保町,PREF13,東京都
272,AREAS2189,水道橋,AREAL2142,神田・秋葉原・水道橋,AREAM2953,水道橋,PREF13,東京都
273,AREAS2190,小石川,AREAL2142,神田・秋葉原・水道橋,AREAM2954,小石川,PREF13,東京都
274,AREAS2188,本郷,AREAL2142,神田・秋葉原・水道橋,AREAM2955,本郷,PREF13,東京都
275,AREAS2169,品川（アトレ品川・インターシティ方面）,AREAL2169,品川・五反田・大崎,AREAM2169,品川,PREF13,東京都
276,AREAS2170,品川（高輪方面）,AREAL2169,品川・五反田・大崎,AREAM2169,品川,PREF13,東京都
277,AREAS2176,五反田,AREAL2169,品川・五反田・大崎,AREAM2176,五反田,PREF13,東京都
278,AREAS2177,大崎,AREAL2169,品川・五反田・大崎,AREAM2960,大崎,PREF13,東京都
279,AREAS2257,戸越銀座・旗の台,AREAL2169,品川・五反田・大崎,AREAM2961,戸越銀座・旗の台,PREF13,東京都
280,AREAS2171,天王洲アイル周辺,AREAL2169,品川・五反田・大崎,AREAM2171,天王洲アイル周辺,PREF13,東京都
281,AREAS2113,お台場,AREAL2170,お台場・豊洲・湾岸,AREAM2113,お台場,PREF13,東京都
282,AREAS2114,有明,AREAL2170,お台場・豊洲・湾岸,AREAM2962,有明,PREF13,東京都
283,AREAS2111,晴海,AREAL2170,お台場・豊洲・湾岸,AREAM2963,晴海,PREF13,東京都
284,AREAS2112,豊洲,AREAL2170,お台場・豊洲・湾岸,AREAM2111,豊洲,PREF13,東京都
285,AREAS2178,恵比寿（広尾・ガーデンプレイス方面）,AREAL2178,恵比寿・中目黒・目黒,AREAM2178,恵比寿,PREF13,東京都
286,AREAS2262,恵比寿（中目黒・代官山方面）,AREAL2178,恵比寿・中目黒・目黒,AREAM2178,恵比寿,PREF13,東京都
287,AREAS2179,代官山,AREAL2178,恵比寿・中目黒・目黒,AREAM2964,代官山,PREF13,東京都
288,AREAS2181,中目黒,AREAL2178,恵比寿・中目黒・目黒,AREAM2181,中目黒,PREF13,東京都
289,AREAS2182,祐天寺,AREAL2178,恵比寿・中目黒・目黒,AREAM2965,祐天寺,PREF13,東京都
290,AREAS2180,目黒,AREAL2178,恵比寿・中目黒・目黒,AREAM2180,目黒,PREF13,東京都
291,AREAS2297,不動前・武蔵小山,AREAL2178,恵比寿・中目黒・目黒,AREAM2966,不動前・武蔵小山,PREF13,東京都
292,AREAS2164,自由が丘,AREAL2164,自由が丘・三軒茶屋・二子玉川,AREAM2164,自由が丘,PREF13,東京都
293,AREAS2165,田園調布,AREAL2164,自由が丘・三軒茶屋・二子玉川,AREAM2967,田園調布,PREF13,東京都
294,AREAS2183,学芸大学,AREAL2164,自由が丘・三軒茶屋・二子玉川,AREAM2968,学芸大学,PREF13,東京都
295,AREAS2166,三軒茶屋,AREAL2164,自由が丘・三軒茶屋・二子玉川,AREAM2166,三軒茶屋,PREF13,東京都
296,AREAS2298,池尻大橋・三宿,AREAL2164,自由が丘・三軒茶屋・二子玉川,AREAM2969,池尻大橋・三宿,PREF13,東京都
297,AREAS2167,駒澤大学,AREAL2164,自由が丘・三軒茶屋・二子玉川,AREAM2970,駒澤大学,PREF13,東京都
298,AREAS2168,二子玉川・用賀,AREAL2164,自由が丘・三軒茶屋・二子玉川,AREAM2168,二子玉川・用賀,PREF13,東京都
299,AREAS2207,下北沢,AREAL2207,下北沢・明大前・成城学園前,AREAM2207,下北沢,PREF13,東京都
300,AREAS2208,代々木上原,AREAL2207,下北沢・明大前・成城学園前,AREAM2971,代々木上原,PREF13,東京都
301,AREAS2209,笹塚,AREAL2207,下北沢・明大前・成城学園前,AREAM2209,笹塚,PREF13,東京都
302,AREAS2211,明大前,AREAL2207,下北沢・明大前・成城学園前,AREAM2972,明大前,PREF13,東京都
303,AREAS2212,高井戸,AREAL2207,下北沢・明大前・成城学園前,AREAM2973,高井戸,PREF13,東京都
304,AREAS2214,千歳烏山・仙川,AREAL2207,下北沢・明大前・成城学園前,AREAM2211,千歳烏山・仙川,PREF13,東京都
305,AREAS2215,豪徳寺・経堂,AREAL2207,下北沢・明大前・成城学園前,AREAM2215,豪徳寺・経堂,PREF13,東京都
306,AREAS2216,千歳船橋・成城学園前,AREAL2207,下北沢・明大前・成城学園前,AREAM2974,千歳船橋・成城学園前,PREF13,東京都
307,AREAS2263,喜多見・狛江,AREAL2207,下北沢・明大前・成城学園前,AREAM2975,喜多見・狛江,PREF13,東京都
308,AREAS2217,中野,AREAL2217,中野・吉祥寺・三鷹,AREAM2217,中野,PREF13,東京都
309,AREAS2219,荻窪,AREAL2217,中野・吉祥寺・三鷹,AREAM2976,荻窪,PREF13,東京都
310,AREAS2220,高円寺,AREAL2217,中野・吉祥寺・三鷹,AREAM2977,高円寺,PREF13,東京都
311,AREAS2213,方南町,AREAL2217,中野・吉祥寺・三鷹,AREAM2978,方南町,PREF13,東京都
312,AREAS2218,落合,AREAL2217,中野・吉祥寺・三鷹,AREAM2979,落合,PREF13,東京都
313,AREAS2221,井荻,AREAL2217,中野・吉祥寺・三鷹,AREAM2980,井荻,PREF13,東京都
314,AREAS2276,吉祥寺,AREAL2217,中野・吉祥寺・三鷹,AREAM2276,吉祥寺,PREF13,東京都
315,AREAS2277,三鷹,AREAL2217,中野・吉祥寺・三鷹,AREAM2981,三鷹,PREF13,東京都
316,AREAS2222,練馬,AREAL2222,練馬・江古田・田無,AREAM2222,練馬,PREF13,東京都
317,AREAS2224,平和台,AREAL2222,練馬・江古田・田無,AREAM2982,平和台,PREF13,東京都
318,AREAS2225,光が丘,AREAL2222,練馬・江古田・田無,AREAM2983,光が丘,PREF13,東京都
319,AREAS2227,大泉学園,AREAL2222,練馬・江古田・田無,AREAM2984,大泉学園,PREF13,東京都
320,AREAS2223,江古田,AREAL2222,練馬・江古田・田無,AREAM2985,江古田,PREF13,東京都
321,AREAS2226,上石神井,AREAL2222,練馬・江古田・田無,AREAM2986,上石神井,PREF13,東京都
322,AREAS2282,田無,AREAL2222,練馬・江古田・田無,AREAM2987,田無,PREF13,東京都
323,AREAS2283,東久留米,AREAL2222,練馬・江古田・田無,AREAM2282,東久留米,PREF13,東京都
324,AREAS2284,東村山,AREAL2222,練馬・江古田・田無,AREAM2988,東村山,PREF13,東京都
325,AREAS2285,清瀬,AREAL2222,練馬・江古田・田無,AREAM2989,清瀬,PREF13,東京都
326,AREAS2228,錦糸町,AREAL2228,錦糸町・押上・新小岩,AREAM2228,錦糸町・住吉,PREF13,東京都
327,AREAS2155,住吉,AREAL2228,錦糸町・押上・新小岩,AREAM2228,錦糸町・住吉,PREF13,東京都
328,AREAS2230,押上,AREAL2228,錦糸町・押上・新小岩,AREAM2990,押上,PREF13,東京都
329,AREAS2229,両国,AREAL2228,錦糸町・押上・新小岩,AREAM2991,両国,PREF13,東京都
330,AREAS2206,浅草橋,AREAL2228,錦糸町・押上・新小岩,AREAM2230,浅草橋,PREF13,東京都
331,AREAS2231,亀戸,AREAL2228,錦糸町・押上・新小岩,AREAM2992,亀戸,PREF13,東京都
332,AREAS2232,新小岩,AREAL2228,錦糸町・押上・新小岩,AREAM2993,新小岩,PREF13,東京都
333,AREAS2233,小岩,AREAL2228,錦糸町・押上・新小岩,AREAM2232,小岩,PREF13,東京都
334,AREAS2235,船堀,AREAL2228,錦糸町・押上・新小岩,AREAM2234,船堀・瑞江,PREF13,東京都
335,AREAS2236,瑞江,AREAL2228,錦糸町・押上・新小岩,AREAM2234,船堀・瑞江,PREF13,東京都
336,AREAS2234,大島,AREAL2228,錦糸町・押上・新小岩,AREAM2234,船堀・瑞江,PREF13,東京都
337,AREAS2148,人形町・小伝馬町,AREAL2146,人形町・門前仲町・葛西,AREAM2148,人形町・小伝馬町,PREF13,東京都
338,AREAS2146,茅場町,AREAL2146,人形町・門前仲町・葛西,AREAM2146,茅場町,PREF13,東京都
339,AREAS2147,八丁堀,AREAL2146,人形町・門前仲町・葛西,AREAM2996,八丁堀,PREF13,東京都
340,AREAS2149,門前仲町,AREAL2146,人形町・門前仲町・葛西,AREAM2149,門前仲町,PREF13,東京都
341,AREAS2151,清澄白河,AREAL2146,人形町・門前仲町・葛西,AREAM2997,清澄白河,PREF13,東京都
342,AREAS2152,木場,AREAL2146,人形町・門前仲町・葛西,AREAM2998,木場,PREF13,東京都
343,AREAS2153,東陽町,AREAL2146,人形町・門前仲町・葛西,AREAM2999,東陽町,PREF13,東京都
344,AREAS2154,菊川,AREAL2146,人形町・門前仲町・葛西,AREAM2153,南砂町・菊川,PREF13,東京都
345,AREAS2238,南砂町,AREAL2146,人形町・門前仲町・葛西,AREAM2153,南砂町・菊川,PREF13,東京都
346,AREAS2237,西葛西・葛西,AREAL2146,人形町・門前仲町・葛西,AREAM2237,西葛西・葛西,PREF13,東京都
347,AREAS2239,新木場,AREAL2146,人形町・門前仲町・葛西,AREAM2239,新木場・葛西臨海公園,PREF13,東京都
348,AREAS2240,葛西臨海公園,AREAL2146,人形町・門前仲町・葛西,AREAM2239,新木場・葛西臨海公園,PREF13,東京都
349,AREAS2241,南千住,AREAL2241,北千住・綾瀬・亀有,AREAM3000,南千住,PREF13,東京都
350,AREAS2242,町屋,AREAL2241,北千住・綾瀬・亀有,AREAM2241,町屋,PREF13,東京都
351,AREAS2243,北千住,AREAL2241,北千住・綾瀬・亀有,AREAM2243,北千住,PREF13,東京都
352,AREAS2245,綾瀬,AREAL2241,北千住・綾瀬・亀有,AREAM3001,綾瀬,PREF13,東京都
353,AREAS2244,西新井,AREAL2241,北千住・綾瀬・亀有,AREAM3002,西新井,PREF13,東京都
354,AREAS2247,金町,AREAL2241,北千住・綾瀬・亀有,AREAM3003,金町,PREF13,東京都
355,AREAS2246,亀有・青砥,AREAL2241,北千住・綾瀬・亀有,AREAM3004,亀有・青砥,PREF13,東京都
356,AREAS2250,板橋,AREAL2250,板橋・成増・赤羽,AREAM2250,板橋,PREF13,東京都
357,AREAS2251,成増,AREAL2250,板橋・成増・赤羽,AREAM3005,成増,PREF13,東京都
358,AREAS2252,高島平,AREAL2250,板橋・成増・赤羽,AREAM3006,高島平,PREF13,東京都
359,AREAS2248,赤羽,AREAL2250,板橋・成増・赤羽,AREAM2248,赤羽,PREF13,東京都
360,AREAS2249,王子,AREAL2250,板橋・成増・赤羽,AREAM3007,王子,PREF13,東京都
361,AREAS2254,大井町,AREAL2254,大井町・大森・蒲田,AREAM2254,大井町,PREF13,東京都
362,AREAS2253,大森,AREAL2254,大井町・大森・蒲田,AREAM3008,大森,PREF13,東京都
363,AREAS2255,蒲田,AREAL2254,大井町・大森・蒲田,AREAM2255,蒲田,PREF13,東京都
364,AREAS2256,羽田,AREAL2254,大井町・大森・蒲田,AREAM3009,羽田,PREF13,東京都
365,AREAS2258,池上・洗足池,AREAL2254,大井町・大森・蒲田,AREAM3010,池上・洗足池,PREF13,東京都
366,AREAS2273,府中,AREAL2273,府中・調布,AREAM2273,府中,PREF13,東京都
367,AREAS2274,稲城,AREAL2273,府中・調布,AREAM3011,稲城,PREF13,東京都
368,AREAS2271,調布,AREAL2273,府中・調布,AREAM3012,調布,PREF13,東京都
369,AREAS2964,聖蹟桜ヶ丘,AREAL2273,府中・調布,AREAM3078,聖蹟桜ヶ丘,PREF13,東京都
370,AREAS2275,多摩センター,AREAL2923,町田・多摩,AREAM3013,多摩センター,PREF13,東京都
371,AREAS2929,町田,AREAL2923,町田・多摩,AREAM2294,町田,PREF13,東京都
372,AREAS2963,鶴川,AREAL2923,町田・多摩,AREAM3077,鶴川,PREF13,東京都
373,AREAS2278,小金井,AREAL2278,小金井・国分寺・国立,AREAM2278,小金井,PREF13,東京都
374,AREAS2279,小平,AREAL2278,小金井・国分寺・国立,AREAM2279,小平,PREF13,東京都
375,AREAS2280,国分寺,AREAL2278,小金井・国分寺・国立,AREAM2280,国分寺,PREF13,東京都
376,AREAS2281,国立,AREAL2278,小金井・国分寺・国立,AREAM2281,国立,PREF13,東京都
377,AREAS2286,立川,AREAL2286,立川・八王子・青梅,AREAM2286,立川,PREF13,東京都
378,AREAS2287,昭島,AREAL2286,立川・八王子・青梅,AREAM3014,昭島,PREF13,東京都
379,AREAS2288,八王子,AREAL2286,立川・八王子・青梅,AREAM2288,八王子,PREF13,東京都
380,AREAS2289,日野,AREAL2286,立川・八王子・青梅,AREAM3015,日野,PREF13,東京都
381,AREAS2290,青梅・小作,AREAL2286,立川・八王子・青梅,AREAM2290,青梅・小作,PREF13,東京都
382,AREAS2291,福生,AREAL2286,立川・八王子・青梅,AREAM3016,福生,PREF13,東京都
383,AREAS2292,あきる野,AREAL2286,立川・八王子・青梅,AREAM3017,あきる野,PREF13,東京都
384,AREAS2295,伊豆諸島・小笠原諸島,AREAL2295,伊豆諸島・小笠原諸島,AREAM2295,伊豆諸島・小笠原諸島,PREF13,東京都
385,AREAS2302,川崎,AREAL2302,川崎・鶴見,AREAM2302,川崎,PREF14,神奈川県
386,AREAS2348,鶴見,AREAL2302,川崎・鶴見,AREAM2348,鶴見,PREF14,神奈川県
387,AREAS2310,武蔵小杉・元住吉,AREAL2310,武蔵小杉・日吉・綱島,AREAM2310,武蔵小杉・元住吉,PREF14,神奈川県
388,AREAS2356,日吉・綱島,AREAL2310,武蔵小杉・日吉・綱島,AREAM2356,日吉・綱島,PREF14,神奈川県
389,AREAS2398,白楽・反町,AREAL2310,武蔵小杉・日吉・綱島,AREAM2398,白楽・反町,PREF14,神奈川県
390,AREAS2354,新横浜,AREAL2354,新横浜・センター南・鴨居,AREAM2354,新横浜,PREF14,神奈川県
391,AREAS2358,センター北・南,AREAL2354,新横浜・センター南・鴨居,AREAM2358,センター北・南,PREF14,神奈川県
392,AREAS2900,鴨居・十日市場,AREAL2354,新横浜・センター南・鴨居,AREAM2900,鴨居・十日市場,PREF14,神奈川県
